advertiser_name,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate
Lululemon (US),6121,1831.33300000000,243,243,0.039699,0.039699
Abercrombie & Fitch (US),7803,1723.82000000000,150,357,0.019223,0.045751
Amazon (US),4715,678.41200000000,109,87,0.023117,0.018451
Nordstrom,3509,435.80600000000,68,130,0.019378,0.037047
adidas (US),489,216.95800000000,19,30,0.038854,0.061349
"New Balance Athletics, Inc.",389,197.51900000000,8,13,0.020565,0.033419
Vuori Clothing (US & Canada),1625,187.88000000000,12,12,0.007384,0.007384
Target,627,186.89300000000,66,359,0.105263,0.572567
Quince,90,144.06000000000,4,13,0.044444,0.144444
Athleta,208,102.51500000000,8,28,0.038461,0.134615
Nike (US),652,98.21420000000,7,8,0.010736,0.012269
Old Navy (US),652,86.63200000000,15,71,0.023006,0.108895
SOMA,227,70.05600000000,9,20,0.039647,0.088105
QVC,1749,38.50000000000,5,5,0.002858,0.002858
Aritzia,97,37.17000000000,1,3,0.010309,0.030927
MERIT,171,35.91000000000,4,11,0.023391,0.064327
Colleen Rothschild Beauty,119,25.45200000000,2,4,0.016806,0.033613
Dermstore (US),166,23.80000000000,1,1,0.006024,0.006024
Nordstrom Rack,0,21.63000000000,3,7,0.000000,0.000000
Spanx,286,21.60900000000,3,3,0.010489,0.010489
Anthropologie (US),314,17.06880000000,3,5,0.009554,0.015923
Walmart (US),128,15.49100000000,18,291,0.140625,2.273437
Ulta,184,10.69600000000,1,5,0.005434,0.027173
American Eagle Outfitters (US & CA),42,9.54660000000,1,2,0.023809,0.047619
Zara US,201,9.17600000000,1,1,0.004975,0.004975
Alo Yoga (US),55,8.42800000000,1,2,0.018181,0.036363
Bombas,9,7.73500000000,2,3,0.222222,0.333333
DICK'S Sporting Goods,105,7.69930000000,1,2,0.009523,0.019047
Nike (IE),1,4.57170216300,1,1,1.000000,1.000000
Gruns,1,3.03800000000,1,1,1.000000,1.000000
Kohl's,16,2.66000000000,1,1,0.062500,0.062500
Typology - US,70,2.64600000000,1,1,0.014285,0.014285
tarte cosmetics (Global),6,2.31000000000,1,2,0.166666,0.333333
J. Crew US,22,2.06500000000,1,1,0.045454,0.045454
Old Navy (CA),9,0.00,0,0,0.000000,0.000000
Gap (US),42,0.00,0,0,0.000000,0.000000
SKIMS (US),2,0.00,0,0,0.000000,0.000000
SAXX Underwear US,4,0.00,0,0,0.000000,0.000000
StockX,120,0.00,0,0,0.000000,0.000000
NAVY Hair Care,2,0.00,0,0,0.000000,0.000000
Tuckernuck (US),17,0.00,0,0,0.000000,0.000000
Cettire Global,1,0.00,0,0,0.000000,0.000000
Abercrombie & Fitch (UK),12,0.00,0,0,0.000000,0.000000
ASOS (Global),1,0.00,0,0,0.000000,0.000000
Petal & Pup (US),3,0.00,0,0,0.000000,0.000000
KREWE Eyewear,1,0.00,0,0,0.000000,0.000000
BioIonic,1,0.00,0,0,0.000000,0.000000
DIBS Beauty,9,0.00,0,0,0.000000,0.000000
Simons,27,0.00,0,0,0.000000,0.000000
Athena Club,1,0.00,0,0,0.000000,0.000000
DIFF Eyewear,1,0.00,0,0,0.000000,0.000000
Cupshe US,17,0.00,0,0,0.000000,0.000000
TravisMathew,3,0.00,0,0,0.000000,0.000000
Spanx Canada,11,0.00,0,0,0.000000,0.000000
PUMA US,219,0.00,0,0,0.000000,0.000000
"Showpo (US, UK & Europe)",9,0.00,0,0,0.000000,0.000000
Zappos,3,0.00,0,0,0.000000,0.000000
Ninja Kitchen,2,0.00,0,0,0.000000,0.000000
eCosmetics.com,41,0.00,0,0,0.000000,0.000000
Peloton Apparel,1,0.00,0,0,0.000000,0.000000
Athleta Canada,6,0.00,0,0,0.000000,0.000000
New Balance Canada,7,0.00,0,0,0.000000,0.000000
Nutrafol,2,0.00,0,0,0.000000,0.000000
VICI,90,0.00,0,0,0.000000,0.000000
Vuori UK,1,0.00,0,0,0.000000,0.000000
Aerie,11,0.00,0,0,0.000000,0.000000
Evereve,8,0.00,0,0,0.000000,0.000000
Boden (US),2,0.00,0,0,0.000000,0.000000
SkinCeuticals,4,0.00,0,0,0.000000,0.000000
rhode skin,3,0.00,0,0,0.000000,0.000000
Peepers,1,0.00,0,0,0.000000,0.000000
Coco&Eve,1,0.00,0,0,0.000000,0.000000
Stanley PMI US,2,0.00,0,0,0.000000,0.000000
Shop Simon,26,0.00,0,0,0.000000,0.000000
Macy's,6,0.00,0,0,0.000000,0.000000
Summer Fridays (US),1,0.00,0,0,0.000000,0.000000
Lulus,11,0.00,0,0,0.000000,0.000000
Express,6,0.00,0,0,0.000000,0.000000
Champs Sports,12,0.00,0,0,0.000000,0.000000
Brooks Running,8,0.00,0,0,0.000000,0.000000
Omnilux,10,0.00,0,0,0.000000,0.000000
The Container Store,2,0.00,0,0,0.000000,0.000000
Nuuds US,1,0.00,0,0,0.000000,0.000000
Rhone,26,0.00,0,0,0.000000,0.000000
Levi's US,2,0.00,0,0,0.000000,0.000000
Fabletics,15,0.00,0,0,0.000000,0.000000
LOFT,1,0.00,0,0,0.000000,0.000000
Poppy & Pine,6,0.00,0,0,0.000000,0.000000
Best Buy U.S.,12,0.00,0,0,0.000000,0.000000
CAKES Body,1,0.00,0,0,0.000000,0.000000
Divi Official LLC,2,0.00,0,0,0.000000,0.000000
BaubleBar,12,0.00,0,0,0.000000,0.000000
Beach Riot,5,0.00,0,0,0.000000,0.000000
Electric Picks Jewelry,101,0.00,0,0,0.000000,0.000000
Uncommon James,1,0.00,0,0,0.000000,0.000000
Sonos,1,0.00,0,0,0.000000,0.000000
Renwick,4,0.00,0,0,0.000000,0.000000
Sharkclean,1,0.00,0,0,0.000000,0.000000
Revolve Clothing (Global),364,0.00,0,0,0.000000,0.000000
Neiman Marcus,4,0.00,0,0,0.000000,0.000000
Sephora (US),152,0.00,0,0,0.000000,0.000000
Saks Fifth Avenue,57,0.00,0,0,0.000000,0.000000
Bergdorf Goodman,1,0.00,0,0,0.000000,0.000000
Sorel (US & CA),2,0.00,0,0,0.000000,0.000000
Steve Madden (US),9,0.00,0,0,0.000000,0.000000
Tatcha,2,0.00,0,0,0.000000,0.000000
"Chanel, Inc. (US)",2,0.00,0,0,0.000000,0.000000
Etsy (US),25,0.00,0,0,0.000000,0.000000
Sephora (CA),3,0.00,0,0,0.000000,0.000000
Etsy (CAD),1,0.00,0,0,0.000000,0.000000
Nike Asia Pacific,9,0.00,0,0,0.000000,0.000000
Mark and Graham,2,0.00,0,0,0.000000,0.000000
DolceVita.com,24,0.00,0,0,0.000000,0.000000
Tommy John,1,0.00,0,0,0.000000,0.000000
Good American,311,0.00,0,0,0.000000,0.000000
Shopbop,2,0.00,0,0,0.000000,0.000000
adidas (CA),2,0.00,0,0,0.000000,0.000000
Urban Outfitters (US and RoW),9,0.00,0,0,0.000000,0.000000
Free People (Global - UK&FR Excluded),3,0.00,0,0,0.000000,0.000000
J.Crew Factory,7,0.00,0,0,0.000000,0.000000
Madewell,3,0.00,0,0,0.000000,0.000000
H&M (US + CA),4,0.00,0,0,0.000000,0.000000
Amazon (CA),6,0.00,0,0,0.000000,0.000000
UGG (US),1,0.00,0,0,0.000000,0.000000
MESHKI US,5,0.00,0,0,0.000000,0.000000
Nike (FR),1,0.00,0,0,0.000000,0.000000
Nike (IT),1,0.00,0,0,0.000000,0.000000
Nike (UK),3,0.00,0,0,0.000000,0.000000
HSN,1,0.00,0,0,0.000000,0.000000
Cuyana,2,0.00,0,0,0.000000,0.000000
Gap (CA),1,0.00,0,0,0.000000,0.000000
